CODCCAA;CCAA;AÑO;POB
02;Aragón;2015;1317847
07;Castilla y León;2015;2472052
16;País Vasco;2015;2189257
10;Comunitat Valenciana;2015;4980689
08;Castilla-La Mancha;2015;2059191
09;Cataluña;2015;7508106
01;Andalucía;2015;8399043
06;Cantabria;2015;585179
05;Canarias;2015;2100306
12;Galicia;2015;2732347
03;Asturias, Principado de;2015;1051229
15;Navarra, Comunidad Foral de;2015;640476
14;Murcia, Región de;2015;1467288
13;Madrid, Comunidad de;2015;6436996
17;Rioja, La;2015;317053
11;Extremadura;2015;1092997
04;Balears, Illes;2015;1104479
18;Ceuta;2015;84263
19;Melilla;2015;85584
02;Aragón;2016;1308563
07;Castilla y León;2016;2447519
16;País Vasco;2016;2189534
10;Comunitat Valenciana;2016;4959968
08;Castilla-La Mancha;2016;2041631
09;Cataluña;2016;7522596
01;Andalucía;2016;8388107
06;Cantabria;2016;582206
05;Canarias;2016;2101924
12;Galicia;2016;2718525
03;Asturias, Principado de;2016;1042608
15;Navarra, Comunidad Foral de;2016;640647
14;Murcia, Región de;2016;1464847
13;Madrid, Comunidad de;2016;6466996
17;Rioja, La;2016;315794
11;Extremadura;2016;1087778
04;Balears, Illes;2016;1107220
18;Ceuta;2016;84519
19;Melilla;2016;86026
02;Aragón;2017;1308750
07;Castilla y León;2017;2425801
16;País Vasco;2017;2194158
10;Comunitat Valenciana;2017;4941509
08;Castilla-La Mancha;2017;2031479
09;Cataluña;2017;7555830
01;Andalucía;2017;8379820
06;Cantabria;2017;580295
05;Canarias;2017;2108121
12;Galicia;2017;2708339
03;Asturias, Principado de;2017;1034960
15;Navarra, Comunidad Foral de;2017;643234
14;Murcia, Región de;2017;1470273
13;Madrid, Comunidad de;2017;6507184
17;Rioja, La;2017;315381
11;Extremadura;2017;1079920
04;Balears, Illes;2017;1115999
18;Ceuta;2017;84959
19;Melilla;2017;86120
02;Aragón;2018;1308728
07;Castilla y León;2018;2409164
16;País Vasco;2018;2199088
10;Comunitat Valenciana;2018;4963703
08;Castilla-La Mancha;2018;2026807
09;Cataluña;2018;7600065
01;Andalucía;2018;8384408
06;Cantabria;2018;580229
05;Canarias;2018;2127685
12;Galicia;2018;2701743
03;Asturias, Principado de;2018;1028244
15;Navarra, Comunidad Foral de;2018;647554
14;Murcia, Región de;2018;1478509
13;Madrid, Comunidad de;2018;6578079
17;Rioja, La;2018;315675
11;Extremadura;2018;1072863
04;Balears, Illes;2018;1128908
18;Ceuta;2018;85144
19;Melilla;2018;86384
02;Aragón;2019;1319291
07;Castilla y León;2019;2399548
16;País Vasco;2019;2207776
10;Comunitat Valenciana;2019;5003769
08;Castilla-La Mancha;2019;2032863
09;Cataluña;2019;7675217
01;Andalucía;2019;8414240
06;Cantabria;2019;581078
05;Canarias;2019;2153389
12;Galicia;2019;2699499
